description,city,district,street,latitude,longitude,date,price,SQ,price_meter,rooms,sauna
block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,755.00,31.00,24.35,1h,no_sauna
block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,760.00,31.00,24.52,1h,no_sauna
block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,765.00,31.00,24.68,1h,no_sauna
block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,805.00,37.50,21.47,1h,no_sauna
block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,810.00,37.50,21.60,1h,no_sauna
block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,830.00,37.50,22.13,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,,720.00,32.00,22.50,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,Available immediately,720.00,31.50,22.86,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,Available immediately,720.00,32.00,22.50,1h,no_sauna
block of flats,Espoo,Espoonlahti,Kipparinkatu4A,62.84952,27.703385,Available from 12/30/21,680.00,27.00,25.19,1h,no_sauna
block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,474.11,27.00,17.56,1h,no_sauna
block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,477.79,27.00,17.70,1h,no_sauna
block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,495.65,27.00,18.36,1h,no_sauna
block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,495.65,28.00,17.70,1h,no_sauna
block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,502.84,28.00,17.96,1h,no_sauna
block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,506.51,28.00,18.09,1h,no_sauna
block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,513.69,28.00,18.35,1h,no_sauna
block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,535.24,30.50,17.55,1h,no_sauna
block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available from 12/1/21,714.00,30.00,23.80,1h,no_sauna
block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,679.00,28.00,24.25,1h,no_sauna
block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,695.00,28.00,24.82,1h,no_sauna
block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,698.00,28.00,24.93,1h,no_sauna
block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,699.00,28.00,24.96,1h,no_sauna
block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,705.00,30.00,23.50,1h,no_sauna
block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,718.00,28.00,25.64,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,791.00,31.50,25.11,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,799.00,31.50,25.37,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,801.00,33.50,23.91,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,807.00,31.50,25.62,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,809.00,33.50,24.15,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,814.00,31.50,25.84,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,817.00,33.50,24.39,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,825.00,33.50,24.63,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,854.00,38.50,22.18,1h,no_sauna
block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,863.00,38.50,22.42,1h,no_sauna
block of flats,Espoo,Kilo,Kilonportti3,60.218531,24.785025,Available immediately,845.00,35.00,24.14,1h,no_sauna
block of flats,Espoo,Kilo,Kilonportti3,60.218531,24.785025,Available immediately,865.00,35.00,24.71,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio4,60.15724,24.641398,Available immediately,785.00,33.00,23.79,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio6,60.15724,24.641398,Available from 1/1/22,798.00,34.00,23.47,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio6,60.15724,24.641398,Available from 1/1/22,813.00,32.50,25.02,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio6,60.15724,24.641398,Available from 1/1/22,823.00,32.50,25.32,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio6,60.15724,24.641398,Available from 1/1/22,823.00,34.00,24.21,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio6,60.15724,24.641398,Available immediately,805.00,34.50,23.33,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio6,60.15724,24.641398,Available immediately,895.00,43.00,20.81,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio8,60.15724,24.641398,Available immediately,846.00,35.00,24.17,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio8,60.15724,24.641398,Available immediately,859.00,39.50,21.75,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinkallio8,60.15724,24.641398,Available immediately,862.00,35.00,24.63,1h,no_sauna
block of flats,Espoo,Laaksolahti,Rastasniityntie1,60.232914,24.753493,Available immediately,825.00,42.50,19.41,1h,no_sauna
block of flats,Espoo,Leppävaara,Ajurinkuja1,60.22063,24.809466,Available from 12/5/21,845.00,36.00,23.47,1h,no_sauna
block of flats,Espoo,Leppävaara,Ajurinkuja1,60.22063,24.809466,Available immediately,837.00,36.00,23.25,1h,no_sauna
block of flats,Espoo,Leppävaara,Ajurinkuja1,60.22063,24.809466,Available immediately,875.00,40.50,21.60,1h,no_sauna
block of flats,Espoo,Leppävaara,Ajurinkuja1,60.22063,24.809466,Available immediately,887.00,36.00,24.64,1h,no_sauna
block of flats,Espoo,Leppävaara,Ajurinkuja1,60.22063,24.809466,Available immediately,895.00,40.50,22.10,1h,no_sauna
block of flats,Espoo,Leppävaara,Ajurinkuja1,60.22063,24.809466,Available immediately,909.00,40.50,22.44,1h,no_sauna
block of flats,Espoo,Leppävaara,Linnatullinkatu1,60.22063,24.809466,Available immediately,885.00,35.00,25.29,1h,no_sauna
block of flats,Espoo,Leppävaara,Linnatullinkatu1,60.22063,24.809466,Available immediately,925.00,43.00,21.51,1h,no_sauna
block of flats,Espoo,Leppävaara,Runoratsunkatu5A,60.22063,24.809466,Available from 12/1/21,779.00,33.00,23.61,1h,no_sauna
block of flats,Espoo,Mankkaa,Klovinportti2,60.203626,24.757571,Available from 1/3/22,820.00,33.50,24.48,1h,no_sauna
block of flats,Espoo,Mankkaa,Klovinportti2,60.203626,24.757571,Available immediately,735.00,26.00,28.27,1h,no_sauna
block of flats,Espoo,Matinkylä,Etuniementie1C-E,60.160688,24.722625,Available immediately,786.00,33.50,23.46,1h,no_sauna
block of flats,Espoo,Matinkylä,Etuniementie1C-E,60.160688,24.722625,Available immediately,796.00,33.50,23.76,1h,no_sauna
block of flats,Espoo,Matinkylä,Etuniementie1C-E,60.160688,24.722625,Available immediately,799.00,34.00,23.50,1h,no_sauna
block of flats,Espoo,Matinkylä,Etuniementie1F-G,60.160688,24.722625,Available immediately,785.00,33.50,23.43,1h,no_sauna
block of flats,Espoo,Matinkylä,Etuniementie1F-G,60.160688,24.722625,Available immediately,795.00,35.00,22.71,1h,no_sauna
