Column 1,Column 2,Column 3,Column 4,Column 5
"1,010 €/m","block of flats, 72 m²",3H+K,"Espoo
    , Karakallio 
 
    , Kalasääksentie 6",Available from 1/1/22
820 €/m,"block of flats, 33.5 m²",1h+kt,"Espoo
    , Mankkaa 
 
    , Klovinportti 2",Available from 1/3/22
"1,029 €/m","block of flats, 55 m²",2h+kt,"Espoo
    , Leppävaara 
 
    , Armas Launiksen katu 1",Available from 1/3/22
707 €/m,"block of flats, 30.5 m²",1h+kt+alk.,"Espoo
    , Saunalahti 
 
    , Linjaloistonkatu 5",Available from 1/3/22
"1,095 €/m","block of flats, 51 m²",2h+kt,"Espoo
    , Leppävaara 
 
    , Linnatullinkatu 1",Available immediately
"1,096 €/m","block of flats, 66 m²",3h+kk+s,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 21 A",Available from 3/1/22
930 €/m,"block of flats, 53.5 m²",2h+kt+s,"Espoo
    , Espoonlahti 
 
    , Ulappakatu 1",Available immediately
"1,335.12 €/m","row house, 104.5 m²",5h+k+s,"Espoo
    , Kilo 
 
    , Kilonrinne 5",Available from 2/4/22
"1,680 €/m","block of flats, 78.5 m²",4H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
980 €/m,"block of flats, 45.5 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
"1,410 €/m","block of flats, 68 m²",3H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
970 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
880 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
880 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
910 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
